#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
33602,TASA POR MERCADILLOS AMBULANTES,45000,0,45000,41462.48
33603,OCUPACION VIA PUBLICA CONTENEDORES,10000,0,10000,8187.09
33604,OTRAS OCUPACIONES,7000,0,7000,1858.5
33900,VALL.ANDA.ESC.OTR.MAT.CONST.EN VIA PUBLICA.,1000,0,1000,17331.89
33901,OCUPACION CEMENTERIO,0,0,0,15534.64
33904,TASA POR APROV.ESPECIAL CAJEROS AUTOMATICOS,10000,0,10000,7259.85
33905,TASA POR OTRAS OCUPACIONES,16000,0,16000,17994.92
34201,ESCUELA DE MUSICA,400000,0,400000,335981.62
34202,CURSOS Y ACTIVIDADES EDUCACION,115287.68,0,115287.68,25.5
34300,CURSOS Y ACTIVIDADES DEPORTIVAS,400000,0,400000,252666.15
34404,FESTEJOS TAURINOS,90000,0,90000,0
34600,ACTIVIDADES CULTURALES,50300,0,50300,33572.88
34707,CURSOS Y ACTIVIDADES PARTICIPACION CIUDADANA,291561,0,291561,214327.83
34808,CURSOS Y ACTIVIDADES JUVENTUD,6404.73,0,6404.73,933.93
34900,OTROS CURSOS Y ACTIVIDADES,2693.9,0,2693.9,0
34901,PRECIOS PUBLICOS BOLETIN MUNICIPAL,40000,0,40000,37486.74
34902,OTROS PRECIOS PUBLICOS,280,0,280,602
36000,VENTA DE MONOMATERIALES,296288.92,0,296288.92,236372.94
36001,VENTA DE IMPRESOS,0,0,0,0
36002,VENTA MATERIAL DE DESECHOS,6770,0,6770,5880
36003,VENTA DE ENERGIA,4195.08,0,4195.08,840.14
38000,REINTEGROS DE AVALES,0,0,0,0
38900,REINTEGROS PRESUPUESTOS CERRADOS,28000,0,28000,106968.55
39000,OTROS INGRESOS,117314.78,0,117314.78,69434.67
39110,SANCIONES TRIBUTARIAS,71360,0,71360,29020.09
39120,MULTAS DE TRAFICO,721976.75,0,721976.75,44482.94
39121,MULTAS S.E.R.,150000,0,150000,264382.88
39190,MULTAS DE CONVIVENCIA CIUDADANA,200000,0,200000,90654.2
39191,OTRAS MULTAS Y SANCIONES,0,0,0,0
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQ.PREVIO,5885.67,0,5885.67,2447.01
39210,RECARGO EJECUTIVO,15449.49,0,15449.49,57252.61
39211,RECARGOS DE APREMIOS,550000,0,550000,435117.82
39710,OTROS INGRESOS POR MONETARIZACIONES URBANISTICAS,0,0,0,102955
39800,INDEMNIZACIONES SEGUROS,18945.07,16366.83,35311.9,21190.68
39801,INDEMNIZACIONES JUZGADOS,2205.27,0,2205.27,2478.18
39902,COMUNIDAD AGUA Y OTROS PISOS ALQUILER,21470.7,0,21470.7,11772.53
39903,ANUNCIOS A CARGO DE PARTICULARES,65380.58,0,65380.58,23414.67
39904,IMPORTE OBRAS E INST.A C/PARTICULARES,60000,0,60000,32143.35
39906,INDETERMINADOS,10000,0,10000,0
39907,IMPREVISTOS,21336.92,0,21336.92,32136.14
39908,APROVECHAMIENTOS URBANISTICOS,0,0,0,0
39912,CUOTAS MANTENIMIENTO ESCUELAS INFANTILES,116737.15,0,116737.15,35154.58
39916,INGRESOS PROCEDENTES COLABORACION ALUMNOS EN PRACTICAS,13233.6,0,13233.6,8623.2
42000,PARTICIPACION EN TRIBUTOS DEL ESTADO,19915324.5,0,19915324.5,14764572.91
42001,DE LA ADMINISTRACION GENERAL DEL ESTADO,6320,0,6320,0
42090,OTRAS TRANSFERENCIAS CORRIENTES,714.34,0,714.34,793.69
42190,IMSERSO,0,0,0,0
42390,TRANSF. DE SOCIEDADES MERCANTILES ESTATALES Y PUBLICAS,0,0,0,0
45002,TRANS.CTES.CUMPLIMIENTO DE CONV.SERV.SOC.Y POL.DE IGUALDAD,3409309.68,9889.43,3419199.11,3327252.72
45030,TRANS.CTES.CUMPLIMIENTO DE CONV.EN MATERIA DE EDUCACION,560000,0,560000,388798.84
45050,DEL INEM (DE LA COMUNIDAD DE MADRID),62287.2,405872.7,468159.9,107711.21
45060,TRANSFE. CORRIEN. PRISMA,2230936.75,0,2230936.75,2230937
45100,CONSORCIO REGIONAL DE TRANSPORTES,0,0,0,0
46100,TRANSFERENCIA DE AYTOS,0,0,0,0
47000,DE EMPRESAS PRIVADAS,3299364,957.43,3300321.43,958
53400,DE SOC. Y ENTIDADES DEPENDIENTES DE LAS ENTIDADES LOCALES,313665.16,0,313665.16,419973.72
53410,DE SOC. Y ESTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES,0,0,0,0
55400,PRODUCTOS DE EXPLOTACIONES FORESTALES,0,0,0,0
55410,FONDO DE MEJORA DE MONTES,0,0,0,0
60900,OTROS TERRENOS,0,0,0,0
87000,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0,0,0,0
87010,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0,323284.42,323284.42,0
91301,A MEDIO Y LARGO PLAZO,0,0,0,0
