#Fecha,Importe,Orgánica,Aplicación,Económica,Tercero,Nombre Ter.,Texto Libre
2012-08-23,425.33,0,11,31000,A65587198,CATALUNYA BANC SA,INTERESES RECIBO 54 PERIODO 24/05/2012 A 23/08/2012
2012-08-29,114655.67,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,INTERESES PERIODO 30/05/2012 A 29/08/2012
2012-08-29,278200.51,0,11,31000,A39000013,BANCO SANTANDER SA,INTERESES PERIODO 29/05/2012 A 29/08/2012
2012-08-29,30748.16,0,11,31000,A08000143,BANCO DE SABADELL SA,INTERESES PERIODO 29/05/2012 A 29/08/2012
2012-08-29,95153.13,0,11,31000,A28000727,BANCO POPULAR ESPAÑOL SA,INTERESES PERIODO 29/05/2012 A 29/08/2012
2012-08-30,30679.91,0,11,31000,F04001475,CAJAMAR CAJA RURAL SCC,INTERESES PERIODO 29/05/2012 A 29/08/2012
2012-08-29,28711.28,0,11,31000,A28157360,BANKINTER SA,INTERESES PERIODO 29/05/2012 A 29/08/2012
2012-08-29,54419.46,0,11,31000,A28000032,BANCO ESPAÑOL DE CREDITO,INTERESES PERIODO 29/05/2012 A 29/08/2012
2012-08-30,94518.62,0,11,31000,A70302039,NCG BANCO SA,INTERESES PERIODO 29/05/2012 A 29/08/2012
2012-09-30,150310.08,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION CAPITAL PRESTAMO 9519401272 RECIBO 51/73 PERIODO 01/07/2012 A 30/09/2012
2012-09-24,82066.29,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,RECIBO 22 PERIODO 24/08/2012 A 24/09/2012
2012-10-24,82214.01,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,AMORTIZACION CAPITAL RECIBO 23 PERIODO 24/09/2012 A 24/10/2012
2012-10-24,122766,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION CAPITAL PERIODO LIQUIDACION 25/07/2012 A 24/10/2012 RECIBO 13/24
2012-12-17,684622.89,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,A CUENTA PERIODO LIQUIDACION 16/12/2011 A 15/12/2012 RECIBO 1/3
2012-12-24,301.77,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,A CUENTA INTERESES PRESTAMO 11672229/48 RECIBO 25 PERIODO 24/11/2012 A 24/12/2012
2012-03-06,20609.67,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,AMORTIZACION CAPITAL PERIODO 05/12/2011 A 05/03/2012
2012-01-02,79338.82,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,RECIBO 13 DEL 2011
2012-01-30,79536.5,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,CAPITAL RECIBO 14 PERIODO LIQUIDADO DEL 24/12/2011 A 24/01/2012
2012-02-27,79817.69,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,AMORTIZACION RECIBO 15 PERIODO 24/01/2012 A 24/02/2012
2012-03-29,80012.57,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,AMORTIZACION CAPITAL RECIBO 16 PERIODO 24/02/2012 A 24/03/2012
2012-01-02,64353.4,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,RECIBO 9 DEL 25/07/2011 A 24/10/2011
2012-01-24,117796.16,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION CAPITAL RECIBO 10/24 PERIODO 25/10/2011 A 24/01/2012
2012-01-04,14500,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION PRESTAMO POR NO DISPOSICION POR ERROR EN C/C PROVEEDOR
2012-01-04,12735.36,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION PRESTAMO POR NO DISPOSICION POR ERROR EN C/C PROVEEDOR
2012-03-06,6961.16,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION PRESTAMO POR NO DISPOSICION POR ERROR EN C/C PROVEEDOR
2012-02-23,23115.85,0,11,912,G08169815,CAIXA CATALUÑA,RECIBO 52 PERIODO LIQUIDADO DEL 24/11/11 A 23/02/2012
2012-05-23,23115.85,0,11,912,A65587198,CATALUNYA BANC SA,AMORTIZACION CAPITAL RECIBO 53 PERIODO 24/02/2012 A 23/05/2012
2012-02-22,735.87,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA DE RENTING CTO.1101825638110318 DEL VEHICULO 1148 HGR PEUGEOT 308. ENERO 2012
2012-02-09,699.59,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA DE RENTING CTO.1101825638090501 DEL VEHICULO 7593 GNK PEUGEOT 308. ENERO 2012
2012-03-15,699.59,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA DE RENTING CTO. Nº 1101825638090501 DEL PEUGEOT 308 MATR.7593 GNK. FEBRERO 2012
2012-03-20,735.87,0,132,204,A60028776,FINANZIA AUTORENTING SA,"CUOTA RENTING CTO Nº1101825638110318 PEUGEOT 308 , 1148-HGR FEBRERO 2012."
2012-04-17,735.87,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA RENTING  VEHÍCULO PEUGEOT 308 MATRICULA 1148-HGR. CONTRATO Nº 1101825638110318. MARZO 2012.
2012-04-17,699.59,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA RENTING  VEHÍCULO PEUGEOT 308 MATRICULA 7593-GNK. CONTRATO Nº 1101825638090501. MARZO 2012.
2012-05-18,735.87,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA RENTING CTO. 1101825638110318 DEL VEHÍCULO PEUGEOT 308 MATRICULA 1148-HGR. ABRIL 2012.
2012-05-18,699.59,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA RENTING CTO. 1101825638090501 DEL VEHÍCULO PEUGEOT 308. MATRICULA 7593-GNK. ABRIL 2012.
2012-06-08,699.59,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA RENTING CTO 1101825638090501 DEL VEHÍCULO PEUGEOT 308. MATRICULA 7593 GNK. MAYO 2012.
2012-06-08,735.87,0,132,204,A60028776,FINANZIA AUTORENTING SA,CUOTA RENTING CTO 1101825638110318 DEL VEHÍCULO PEUGEOT 308. MATRICULA 1148 HGR. MAYO 2012.
2012-07-11,6244.93,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO DE ALTA TENSION EN CL CUBA 30, POLICIA LOCAL, PERIODO 31.12.11 AL 16.01.12"
2012-07-11,192.62,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN CL CUBA 30, SUMINISTRO DE SOCORRO POLICIA LOCAL, PERIODO 15.12.11 AL 16.01.12"
2012-08-28,158.11,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELÉCTRICO EN C/ CUBA, 30 PUESTO SOCORRO POLICIA LOCAL. PERIODO 16-01-2012  AL 10-02-2012."
2012-08-30,97.43,0,132,22104,Protegido(*),ALBACETE CARREÑO   ALBERTO,P.A.J. ADQUISICION DE VESTUARIO DE VERANO PARA EL JEFE DE LA POLICIA LOCAL.
2012-08-14,138.23,0,132,15000,Protegido(*),VELAZQUEZ SANCHEZ ALEJANDRO,COMPLEMENTO DE PRODUCTIVIDAD POR NOTIFICACIONES DE TASA DE BASURA DURANTE FEBRERO 2012
2012-06-22,7139.59,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"COMP.TASA APROV.SUBSUELO 1ER.TRIM. SUMINISTRO ELECTRICO ALTA TENSION EN CL CUBA 30, POLICIA LOCAL, DEL 15.12.11-31.12.11"
2012-05-29,4201.48,0,132,22706,B86001682,VALESCAR PARKING SL,SERVICIO DE GRUA . DICIEMBRE 2011
2012-09-11,4201.48,0,132,22706,B86001682,VALESCAR PARKING SL,SERVICIO DE GRUA. ENERO 2012
2012-07-06,735.87,0,132,204,A60028776,FINANZIA AUTORENTING SA,ALQUILER DEL VEHICULO PEUGEOT 308 MATRICULA 1148-HGR. CONTRATO Nº 1101825638110318.PERIODO 01-06-12 AL 30-06-12.
2012-08-08,735.87,0,132,204,A60028776,FINANZIA AUTORENTING SA,ALQUILER DEL VEHICULO PEUGEOT 308 MATRICULA 1148-HGR. CONTRATO Nº 1101825638110318.PERIODO 01-07-12 AL 31-07-12.
2012-10-31,203.42,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELÉCTRICO EN C/ CUBA,30. SOCORRO POLICIA LOCAL.  PERIODO 10-02-2012 AL 14-03-2012."
2012-10-31,12199.08,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELÉCTRICO EN C/ CUBA,30. ALTA TENSION. POLICIA LOCAL.   PERIODO 10-02-2012 AL 14-03-2012."
2012-10-31,195.82,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN PUESTO SOCORRO POLICIA LOCAL EN C/ CUBA, 30. PERIODO 14-03-2012 AL 13-04-2012."
2012-10-31,8665.72,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELÉCTRICO EN C/ CUBA, 30. PUESTO SOCORRO.POLICIA LOCAL.   PERIODO DEL 14-03-2012 AL 13-04-2012."
2012-10-31,207.15,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN C/ CUBA,30. POLICIA LOCAL.  PERIODO 13-04-12 AL 15-05-12"
2012-10-31,9068.09,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN C/ CUBA,30. POLICIA LOCAL. ALTA TENSION.  PERIODO 13-04-12 AL 15-05-12."
2012-10-31,1120.4,0,132,22706,B86001682,VALESCAR PARKING SL,SERVICIO DE GRUA MUNICIPAL. PERIODO 01.02-08.02 / 2012
2012-10-31,4201.48,0,132,22706,B86001682,VALESCAR PARKING SL,PRESTACIÓN DEL SERVICIO DE GRÚA DESDE EL 09/02/12 AL 08/03/12.
2012-09-24,735.87,0,132,204,A60028776,FINANZIA AUTORENTING SA,ALQUILER DEL VEHICULO PEUGEOT 308 MATRICULA 1148-HGR. CONTRATO Nº 1101825638110318.PERIODO 01-08-12 AL 31-08-12.
2012-09-27,751.66,0,132,204,A60028776,FINANZIA AUTORENTING SA,RENTING VEHICULO PEUGEOT 308 1148-HGR DEL MES DE SEPTIEMBRE 2012.
2012-09-17,4.86,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"COMPENSACIÓN FACT. DESCUENTO CALIDAD SUMINISTRO ELECTRICO ALTA TENSION  CL CUBA 30, POLICIA LOCAL, 15.12.11 AL 31.12.11"
2012-11-27,379.32,0,132,213,S2817035E,CENTRO ESPAÑOL DE METROLOGIA,CERTIFICADO VERIFICACION PERIODICA ETILOMETRO DRAGER MK-ARUC-0065
2012-11-13,751.66,0,132,204,A60028776,FINANZIA AUTORENTING SA,RENTING VEHICULO PEUGEOT 308 1148-HGR DEL MES DE OCTUBRE 2012.
2012-12-28,16260.62,0,132,22100,A95554630,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,"MODF.15/2012 -413- SUMINISTRO ELECTRICO EN CL CUBA, 30 POLICIA LOCAL PERIODO 16-11-2010 AL 20-12-2010 (RDL 4/2012)"
2012-12-28,2928.77,0,132,22701,B14095244,CONTROLMAN SL,MODF 15/2012 -413- SERVICIO CONTROL LLEAVADO A CABO RECINTO FERIAL DURANTE DICIEMBRE 2007. (RDL 4/2012)
2012-12-28,4043.34,0,132,22701,B14095244,CONTROLMAN SL,MODF 15/2012 -413- SERV SEGURIDAD PRESTADOS AUXILIARES EN BELEN NAVIDEÑO DURANTE DICIEMBRE DEL 2007 (FACT.2008/126)
2012-12-28,183.32,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO. EN  CL CUBA 30-1, SOCORRO POLICIA LOCAL  PERIODO 15-05-12 AL 13-06-12."
2012-12-28,3571.2,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO  DEPENDENCIAS CL CUBA, 30, POLICIA LOCAL Y BIBLIOTECA  PERIODO 31-05-12 AL 12-06-12."
2012-12-28,5023.21,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO  DEPENDENCIAS CL CUBA, 30, POLICIA LOCAL Y BIBLIOTECA  PERIODO 15-05-12 AL 31-05-12."
2012-12-28,10390.86,0,132,22100,A95075586,IBERDROLA GENERACION SAU,SUMINISTRO ELECTRICO EN POLICIA LOCAL SITO EN C/ CUBA 30  DEL 12/06/12 AL 12/07/12
2012-12-28,195.23,0,132,22100,A95075586,IBERDROLA GENERACION SAU,SUMINISTRO ELECTRICO EN PTO SOCORRO POLICIA LOCAL SITO EN C/ CUBA 30  DEL 12/06/12 AL 12/07/12
2012-12-28,232.2,0,132,22100,A95075586,IBERDROLA GENERACION SAU,SUMINISTRO ELECTRICO EN POLICIA LOCAL SITO EN C/ CUBA 30  DEL 12/07/12 AL 14/08/12
2012-12-28,11476.79,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO CL CUBA, 30, POLICIA LOCAL Y BIBLIOTECA PERIODO  12/07/12 AL 14/08/12"
2012-12-12,751.66,0,132,204,A60028776,FINANZIA AUTORENTING SA,RENTING VEHICULO PEUGEOT 308 1148-HGR DEL MES DE NOVIEMBRE 2012.
2012-12-31,968.31,0,132,204,A60028776,FINANZIA AUTORENTING SA,LIQUIDACIÓN DE KM RENTING VEHICULO PEUGEOT 308 7593-GNK POLICIA LOCAL
2012-12-30,163.09,0,132,22101,A86488087,CANAL DE ISABEL II GESTION SA,"CONSUMO SUMINISTRO AGUA AV. ESPAÑA, 97 POLICIA LOCAL PERIODO 24-05-2012 AL 18-07-2012."
2012-12-30,147.99,0,132,22101,Q2817017C,CANAL ISABEL II,"SUMINISTRO DE AGUA EN AV. ESPAÑA, 97. POLICIA LOCAL.   PERIODO 30-11-2011 AL 27-01-2012."
2012-12-30,145.2,0,132,22101,Q2817017C,CANAL ISABEL II,"SUMINISTRO DE AGUA EN AVDA. ESPAÑA, 97. POLICIA LOCAL.  PERIODO DEL 27-01-2012 AL 23-03-2012."
2012-12-30,160.76,0,132,22101,Q2817017C,CANAL ISABEL II,SUMINISTRO DE AGUA EN POLICIA LOCAL SITA EN AVDA ESPAÑA 97 (CTRO 185130459) DEL 23/03/12 AL 24/05/12
2012-02-10,4201.48,0,132,22706,B86001682,VALESCAR PARKING SL,SERVICIO DE GRUA. JULIO 2010.
2012-02-20,151.46,0,132,22101,Q2817017C,CANAL ISABEL II,"SUMINISTRO DE AGUA EN AV ESPAÑA 97, CTO. 185130459 POLICIA LOCAL, PERIODO 05.08-03.10 / 2011"
2012-03-07,4201.48,0,132,22706,Protegido(*),SANCHEZ RAMOS  JOSE,SERVICIOS DE GRUA MUNICIPAL DURANTE EL MES DE AGOSTO DE 2010
2012-03-07,4201.48,0,132,22706,Protegido(*),SANCHEZ RAMOS  JOSE,SERVICIO DE GRUA CONTRATADO DURANTE EL ME DE SEPTIEMBRE 2010
2012-03-07,4201.48,0,132,22706,Protegido(*),SANCHEZ RAMOS  JOSE,"SERVICIO DE GRUA, MES DE OCTUBRE 2010"
2012-03-08,159.29,0,132,22100,A95554630,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,"CONSUMO ELECTRICO EN CL CUBA 30, PUESTO DE SOCORRO POLICIA LOCAL, PERIODO 16.03.11 AL 15.04.11"
2012-03-08,11221.39,0,132,22100,A95554630,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,"CONSUMO ELECTRICO EN CL CUBA 30, POLICIA LOCAL, PERIODO 16.03.11 AL 15.04.11"
2012-03-08,159.29,0,132,22100,A95554630,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,"SUMINISTRO ELECTRICO EN CL CUBA 30, SUMINISTRO DE SOCORRO POLICIA LOCAL, PERIODO 15.04.11 AL 16.05.11"
2012-03-08,10060.72,0,132,22100,A95554630,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,"SUMINISTRO ELECTRICO DE ALTA TENSION EN CL CUBA 30, POLICIA LOCAL, PERIODO 15.04.11 AL 16.05.11"
2012-04-11,33600,0,132,225,S7800001E,COMUNIDAD DE MADRID,EXPTE. COMPENSACION Nº 2012/000001 TASA ACADEMICA 2010/PCM/00055/01.
2012-04-09,4784.35,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"COMPENSACIÓN TASA 1,5% CON FACT.SUMINISTRO ELECTRICO ALTA TENSIÓN EN CL CUBA 30, POLICIA LOCAL, DEL 02.08.11 AL 17.08.11"
2012-03-12,4201.48,0,132,22706,B86001682,VALESCAR PARKING SL,COMPENSACIÓN CANON CONCESIÓN ADMTVA.APARCAMIENTO CENTRO LÚDICO CON FACT.SERVICIO DE GRUA. AGOSTO 2010.
2012-03-12,4201.48,0,132,22706,B86001682,VALESCAR PARKING SL,COMP.CANON CONCESIÓN ADMTVA.APARCAMIENTO C.LÚDICO SERVICIO DE GRUA CORRESPONDIENTE AL MES DE SEPTIEMBRE 2011.
2012-03-12,2301.35,0,132,22706,B86001682,VALESCAR PARKING SL,COMP.CANON CONCESIÓN ADMTVA.APARCAMIENTO C.LÚDICO SERVICIO DE GRUA CORRESPONDIENTE AL MES DE OCTUBRE 2011.
2012-05-29,1109.17,0,132,22102,B65142275,MADRILEÑA SUMINISTRO DE GAS SUR SL,SUMINISTRO GAS EN LA POLICIA LOCAL DURANTE EL PERIODO 25/03/010 A 24/05/010
2012-05-29,656.14,0,132,22102,B65142275,MADRILEÑA SUMINISTRO DE GAS SUR SL,SUMINISTRO GAS EN POLICIA LOCAL DURANTE EL PERIODO 25/05/010 A 22/07/010
2012-05-29,552.63,0,132,22102,B65142275,MADRILEÑA SUMINISTRO DE GAS SUR SL,"SUMINISTRO DE GAS NATURAL EN AVD ESPAÑA 97, LOCAL POLICIA, PERIODO 22.07.10 AL 22.09.10"
2012-05-29,88.42,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN CL CUBA 30, PUESTO SOCORRO POLICIA LOCAL, PERIODO 02.08.11 AL 17.08.11"
2012-05-29,166.14,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN CL CUBA 30, SUMINISTRO SOCORRO POLICIA LOCAL, PERIODO 18.10-15.11 / 2011"
2012-05-29,171.48,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN CL CUBA 30, SUMINISTRO SOCORRO POLICIA LOCAL, PERIODO 19.09.-18.10/2011"
2012-05-29,176.83,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN CL CUBA 30, PUESTO SOCORRO POLICIA LOCAL, PERIODO 15.11-15.12 / 2011"
2012-05-29,192.86,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN CL CUBA 30, SUMINISTRO DE SOCORRO POLICIA LOCAL, PERIODO 17.08.11 AL 19.09.11"
2012-05-29,8392.17,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO DE ALTA TENSION EN CL CUBA 30, POLICIA LOCAL PERIODO 19.09-18.10/2011"
2012-05-29,8618.76,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO DE ALTA TENSION EN CL CUBA 30, POLICIA LOCAL, PERIODO 18.10-15.11 / 2011"
2012-05-29,11432.35,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO EN CL CUBA 30, POLICIA LOCAL, PERIODO 17.08.11 AL 19.09.11"
2012-05-29,11461.23,0,132,22100,A95075586,IBERDROLA GENERACION SAU,"SUMINISTRO ELECTRICO DE ALTA TENSION EN CL CUBA 30, POLICIA LOCAL, PERIODO 15.11-15.12 / 2011"
2012-07-31,8122.18,0,132,22701,A84335959,SEGURIDAD INTEGRAL ESQUIVA SA,"SERVICIO DE SEGURIDAD EN EL RECINTO FERIAL, DESDE LAS 08.00 DEL 10.05.11 HASTA LAS 20.00 DEL MISMO DIA."
2012-07-31,8079.7,0,132,22701,A84335959,SEGURIDAD INTEGRAL ESQUIVA SA,SERVICIO DE VIGILANCIA Y PROTECCION DESDE EL 05-13 SEPTIEMBRE 2011 DEL RECINTO FERIAL.
2012-07-31,3313.44,0,132,22701,B84707975,CONTROL Y SERVICIOS ESQUIVA SL,SERVICIO DE MANTENIMIENTO Y CONTROL DE INSTALACIONES PISTAS DE PADEL DEL BARRIO CARACOL. AGOSTO 2011
2012-07-31,4141.8,0,132,22701,B84707975,CONTROL Y SERVICIOS ESQUIVA SL,SERVICIO DE MANTENIMIENTO Y CONTROL DE INSTALACIONES PISTAS DE PADEL DEL BARRIO CARACOL. SEPTIEMBRE 2011
2012-07-31,4279.86,0,132,22701,B84707975,CONTROL Y SERVICIOS ESQUIVA SL,"SERVICIO DE CONTROL DE ACCESO, SEGURIDAD Y VIGILANCIA EN LAS INST.DEPORTIVAS BARRIO CARACOL (PISTAS DE PADEL). OCT. 2011"
2012-07-31,4141.8,0,132,22701,B84707975,CONTROL Y SERVICIOS ESQUIVA SL,"SERVICIO DE CONTROL DE ACCESO, SEGUR.Y VIGILANCIA, PISTA DE PADEL 'EL CARACOL'. NOVIEMBRE 2011"
2012-05-29,752.2,0,132,22102,A65067332,GAS NATURAL SUR SDG SA,SUMINISTRO GAS NATURAL LOCAL AVDA ESPAÑA Nº 97  DESDE EL 22-09-09 AL 24-11-09
2012-05-29,1442.66,0,132,22102,A65067332,GAS NATURAL SUR SDG SA,SUMINISTRO DE GAS EN POLICIA LOCAL DEL 25/11/09 AL 26/01/10
2012-05-29,1181.11,0,132,22102,A65067332,GAS NATURAL SUR SDG SA,CONSUMO DE GAS DEL 27-1-10 AL 23-3-10 EN EL EDIFICIO DE LA POLICIA LOCAL
2012-05-29,326.17,0,132,213,A28144731,ELECTRONICA VILLBAR  SA,REPARACION DE 6 EMISORES DE LA POLICIA LOCAL
2012-05-29,345.74,0,132,213,A28144731,ELECTRONICA VILLBAR  SA,REPARACION DE UNA FUENTE DE ALIMENTACION MW0307 DE REPETIDOR KENWOOD
2012-05-29,1180,0,132,213,A28144731,ELECTRONICA VILLBAR  SA,ADQUISICION 10 BATERIAS Y FUNDAS PARA EMISORES CP040
2012-05-29,11045.14,0,132,22002,A48270227,BILBOMATICA SA,GESTION DEL SEGUNDO OPERADOR PARA LA POLICIA LOCAL
2012-05-29,212.75,0,132,22003,A28144731,ELECTRONICA VILLBAR  SA,SUMINISTRO DE 2 FUENTES DE ALIMENTACION PARA EMISORES DE RADIO.
2012-05-29,322.77,0,132,213,A28825149,REPAC SA,"CONSUMO DE COPIAS DE LA FOTOCOPIADORA MODELO E-ESTUDIO 282, EN POL.MUNICIPAL, 26050 COPIAS DEL 03.09 AL 14.12 2010"
2012-05-29,2525.2,0,132,623,A28144731,ELECTRONICA VILLBAR  SA,ADQUISICION DE UN REPETIDOR KENWOOD 440-470 16C.
2012-05-29,297.75,0,132,213,A28825149,REPAC SA,"CONSUMO DE COPIAS EN FOTOCOPIADORA MODELO E-ESTUDIO 282 DE POLICIA LOCAL, PERIODO 14.12.10 AL 14.03.11, 24031 COPIAS"
