#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
33800,"COMPENSACIÓN DE TELEFÓNICA DE ESPAÑA,S.A.",260000,0,260000,203442.15
33900,VALL.ANDA.ESC.OTR.MAT.CONST.EN VIA PUBLICA.,6000,0,6000,13119.31
33904,TASA POR APROV.ESPECIAL CAJEROS AUTOMATICOS,7000,0,7000,9263.7
33905,TASA POR OTRAS OCUPACIONES,2000,0,2000,12689.03
34201,ESCUELA DE MUSICA,406016,0,406016,306661.31
34202,CURSOS Y ACTIVIDADES EDUCACION,180000,0,180000,117741.81
34300,CURSOS Y ACTIVIDADES DEPORTIVAS,476000,0,476000,281940.11
34404,FESTEJOS TAURINOS,0,0,0,0
34600,ACTIVIDADES CULTURALES,50000,0,50000,49273.5
34707,CURSOS Y ACTIVIDADES PARTICIPACION CIUDADANA,360000,0,360000,243027.97
34808,CURSOS Y ACTIVIDADES JUVENTUD,22662.85,0,22662.85,8192.48
34900,OTROS CURSOS Y ACTIVIDADES,0,0,0,0
34901,PRECIOS PUBLICOS BOLETIN MUNICIPAL,125000,0,125000,22885.05
36000,VENTA DE MONOMATERIALES,350000,0,350000,262652.02
36001,VENTA DE IMPRESOS,8000,0,8000,0
36002,VENTA MATERIAL DE DESECHOS,9000,0,9000,5040
36003,VENTA DE ENERGIA,5500,0,5500,2960.78
38000,REINTEGROS DE AVALES,0,0,0,5743.49
38900,REINTEGROS PRESUPUESTOS CERRADOS,75000,0,75000,6110.66
39000,OTROS INGRESOS,55338.66,0,55338.66,240597.03
39110,SANCIONES TRIBUTARIAS,30000,0,30000,11215.1
39120,MULTAS DE TRAFICO,400000,0,400000,831673.14
39190,MULTAS DE CONVIVENCIA CIUDADANA,200000,0,200000,105420.98
39191,OTRAS MULTAS Y SANCIONES,0,0,0,117.95
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQ.PREVIO,5000,0,5000,8092.69
39210,RECARGO EJECUTIVO,1000,0,1000,21630.91
39211,RECARGOS DE APREMIOS,325000,0,325000,347724.93
39300,INTERESES DE DEMORA,180000,0,180000,129401.23
39700,APROVECHAMIENTOS URBANISTICOS,0,0,0,0
39800,INDEMNIZACIONES SEGUROS,25000,0,25000,16923.76
39801,INDEMNIZACIONES JUZGADOS,3000,0,3000,6125.47
39902,COMUNIDAD AGUA Y OTROS PISOS ALQUILER,45000,0,45000,17556.39
39903,ANUNCIOS A CARGO DE PARTICULARES,75000,0,75000,55288.01
39904,IMPORTE OBRAS E INST.A C/PARTICULARES,0,0,0,0
39906,INDETERMINADOS,5000,0,5000,0
39907,IMPREVISTOS,10000,0,10000,33872.56
39908,APROVECHAMIENTOS URBANISTICOS,0,0,0,0
39912,CUOTAS MANTENIMIENTO ESCUELAS INFANTILES,286993.49,0,286993.49,227965.53
39916,INGRESOS PROCEDENTES COLABORACION ALUMNOS EN PRACTICAS,5000,0,5000,4896
42001,DE LA ADMINISTRACION GENERAL DEL ESTADO,0,0,0,7287
42000,PARTICIPACION EN TRIBUTOS DEL ESTADO,13000000,0,13000000,12145356.9
42090,OTRAS TRANSFERENCIAS CORRIENTES,15000,0,15000,1250.26
42190,IMSERSO,0,0,0,-2030.83
42200,DE FUNDACIONES ESTATALES,0,0,0,0
42390,TRANSF. DE SOCIEDADES MERCANTILES ESTATALES Y PUBLICAS,0,0,0,0
43200,OTRAS TRANSFERENCIAS,0,0,0,0
44000,TRANSFERENCIAS ENTES PUBLICOS,0,0,0,0
45000,DE LA ADMON GENERAL DE LA COMUNIDAD DE MADRID,1520454.84,0,1520454.84,1165048.11
45002,TRANS.CTES.CUMPLIMIENTO DE CONV.SERV.SOC.Y POL.DE IGUALDAD,4364415.55,0,4364415.55,3927469.34
45030,TRANS.CTES.CUMPLIMIENTO DE CONV.EN MATERIA DE EDUCACION,1110030.68,0,1110030.68,816129.38
45050,DEL INEM (DE LA COMUNIDAD DE MADRID),0,862115.51,862115.51,1165839.11
45060,TRANSFE. CORRIEN. PRISMA,0,0,0,0
45101,DE ORGANISMOS AUTONOMOS ADMINISTRATIVOS (C.A.M),0,0,0,0
45100,CONSORCIO REGIONAL DE TRANSPORTES,0,0,0,-4500
45300,DE EMPRESAS PUBLICAS Y OTROS ENTES PUBLICOS,4000000,0,4000000,3172230
46100,TRANSFERENCIA DE AYTOS,0,0,0,0
47000,DE EMPRESAS PRIVADAS,3349364,0,3349364,0
48000,SUBVENCIONES FAMILIAS S/FINES DE LUCRO,0,0,0,139686.53
49000,DEL FONDO SOCIAL EUROPEO,0,0,0,203530.2
51800,INTERESES PRESTAMOS PERSONAL,10000,0,10000,266.66
52000,INTERESES EN CTAS.BANCOS Y CAJAS DE AHORRO,10000,0,10000,1412.23
53400,DIVIDENDOS E. MUNICIPALES,0,0,0,0
54100,PRODUCTO ARRENDAMIENTO FINCAS URBANAS,800000,0,800000,197506.7
54200,PRODUCTO ARRENDAMIENTO FINCAS RUSTICAS,1455.44,0,1455.44,0
55000,CONCESIONES ADMINISTRATIVAS,20000,0,20000,41044.99
55200,OTROS DERECHO DE SUPERFICIE,0,0,0,0
55400,PRODUCTOS DE EXPLOTACIONES FORESTALES,0,0,0,0
55410,FONDO DE MEJORA DE MONTES,0,0,0,0
59900,OTROS INGRESOS PATRIMONIALES,10000,0,10000,0
60000,OTROS INGRESOS PATRIMONIALES (SOLARES),0,0,0,0
60100,ENAJENACION DE FINCAS RUSTICAS,0,0,0,14068.91
60300,PATRIMONIO PUBLICO DEL SUELO,597541.92,0,597541.92,0
60900,OTROS TERRENOS,0,0,0,0
61100,DE INMOVILIZADO INMATERIAL,0,0,0,0
61900,ENAJENACION DE VIVIENDAS MUNICIPALES,30000,0,30000,80888
72000,De la Administración General del Estado.,0,0,0,55201.6
79100,DEL FONDO DE DESRROLLO REGIONAL,0,280674.14,280674.14,-22757.36
87000,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0,0,0,0
87010,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0,947508.36,947508.36,0
91301,A MEDIO Y LARGO PLAZO,0,0,0,0
