#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
32901,PLAC.PATEN.DISTIN.UTILIZ.ESCUDO ENTIDAD,0,0,0,3309.9
33600,TASA POR APROVECHAMIENT DEL DOMINIO PUBLICO,0,0,0,0
33003,TASA POR ESTACIONAMIENTO DE VEHICULOS,0,0,0,0
33001,APARCAMIENTO DE CAMIONES,96000,0,96000,71479.81
33002,PARKING MUNICIPAL,55000,0,55000,23727.57
33101,ENTR.VEHIC.EN EDIF.Y RES.APAR.EXCLUSIVO,670000,0,670000,683411.48
33203,TASA EMPRESAS EXPLT. DE SUMINISTROS INTERES GENERAL,1138000,0,1138000,1115344.02
33300,TASA EMPRESAS EXPLT. DE SER. TELECOMUNICACIONES,50000,0,50000,8309.74
33402,CALICATAS Y ZANJAS EN LA VIA PUBLICA.,42000,0,42000,6665.77
33500,"OCUPACION VIA PUBLICA CON MESAS,SILLAS ETC.",86000,0,86000,97366.15
33501,QUIOSCOS Y CRISTALES EN LA VIA PUBLICA,20000,0,20000,29038.88
33502,TASA POR BARRACAS Y PUESTOS FERIANTES,50000,0,50000,32620.35
33601,OCUPACION DE LA VIA PUBLICA CON MERCANCIA,11000,0,11000,2649.91
33602,TASA POR MERCADILLOS AMBULANTES,55000,0,55000,40520.72
33603,OCUPACION VIA PUBLICA CONTENEDORES,18000,0,18000,8736.37
33604,OTRAS OCUPACIONES,25000,0,25000,5648.52
33800,"COMPENSACIÓN DE TELEFÓNICA DE ESPAÑA,S.A.",242000,0,242000,184347.74
33900,VALL.ANDA.ESC.OTR.MAT.CONST.EN VIA PUBLICA.,10000,0,10000,494.05
33901,OCUPACION CEMENTERIO,0,0,0,118385.72
33904,TASA POR APROV.ESPECIAL CAJEROS AUTOMATICOS,10000,0,10000,7916.85
33905,TASA POR OTRAS OCUPACIONES,12000,0,12000,14439.58
34201,ESCUELA DE MUSICA,429400,0,429400,347847.49
34202,CURSOS Y ACTIVIDADES EDUCACION,130880.7,0,130880.7,3136.7
34300,CURSOS Y ACTIVIDADES DEPORTIVAS,376000,0,376000,257415.67
34404,FESTEJOS TAURINOS,0,0,0,0
34600,ACTIVIDADES CULTURALES,50000,0,50000,38714
34707,CURSOS Y ACTIVIDADES PARTICIPACION CIUDADANA,340000,0,340000,211517.48
34808,CURSOS Y ACTIVIDADES JUVENTUD,22662.85,0,22662.85,2912.15
34900,OTROS CURSOS Y ACTIVIDADES,0,0,0,0
34901,PRECIOS PUBLICOS BOLETIN MUNICIPAL,125000,0,125000,35541.64
36000,VENTA DE MONOMATERIALES,350912.37,0,350912.37,243803.69
36001,VENTA DE IMPRESOS,8000,0,8000,0
36002,VENTA MATERIAL DE DESECHOS,9000,0,9000,6860
36003,VENTA DE ENERGIA,5500,0,5500,723.96
38000,REINTEGROS DE AVALES,0,0,0,0
38900,REINTEGROS PRESUPUESTOS CERRADOS,75000,0,75000,30598.99
39000,OTROS INGRESOS,55000,0,55000,40096.25
39110,SANCIONES TRIBUTARIAS,25000,0,25000,29599.57
39120,MULTAS DE TRAFICO,1446234.22,0,1446234.22,42576.9
39121,MULTAS S.E.R.,0,0,0,170620
39190,MULTAS DE CONVIVENCIA CIUDADANA,250000,0,250000,147834.3
39191,OTRAS MULTAS Y SANCIONES,0,0,0,0
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQ.PREVIO,5000,0,5000,6705.36
39210,RECARGO EJECUTIVO,1000,0,1000,50621.04
39211,RECARGOS DE APREMIOS,300000,0,300000,459954.33
39300,INTERESES DE DEMORA,100000,0,100000,235974.34
39700,APROVECHAMIENTOS URBANISTICOS,0,0,0,0
39800,INDEMNIZACIONES SEGUROS,25000,0,25000,3217.96
39801,INDEMNIZACIONES JUZGADOS,10000,0,10000,2347.45
39902,COMUNIDAD AGUA Y OTROS PISOS ALQUILER,45000,0,45000,13265.38
39903,ANUNCIOS A CARGO DE PARTICULARES,75000,0,75000,58225.71
39904,IMPORTE OBRAS E INST.A C/PARTICULARES,0,0,0,1852.03
39906,INDETERMINADOS,5000,0,5000,0
39907,IMPREVISTOS,30000,0,30000,20228.68
39908,APROVECHAMIENTOS URBANISTICOS,0,0,0,0
39912,CUOTAS MANTENIMIENTO ESCUELAS INFANTILES,85000,0,85000,26477.21
39916,INGRESOS PROCEDENTES COLABORACION ALUMNOS EN PRACTICAS,0,0,0,16272
42001,DE LA ADMINISTRACION GENERAL DEL ESTADO,0,0,0,6320
42000,PARTICIPACION EN TRIBUTOS DEL ESTADO,15559614.79,0,15559614.79,14187991.8
42090,OTRAS TRANSFERENCIAS CORRIENTES,15000,0,15000,714.34
42190,IMSERSO,0,0,0,0
42200,DE FUNDACIONES ESTATALES,0,0,0,0
42390,TRANSF. DE SOCIEDADES MERCANTILES ESTATALES Y PUBLICAS,0,0,0,0
43200,OTRAS TRANSFERENCIAS,0,0,0,0
44000,TRANSFERENCIAS ENTES PUBLICOS,0,0,0,0
45000,DE LA ADMON GENERAL DE LA COMUNIDAD DE MADRID,1468187,4930,1473117,810084.01
45002,TRANS.CTES.CUMPLIMIENTO DE CONV.SERV.SOC.Y POL.DE IGUALDAD,3325398.35,0,3325398.35,3281570.16
45030,TRANS.CTES.CUMPLIMIENTO DE CONV.EN MATERIA DE EDUCACION,745529.33,0,745529.33,545342.02
45050,DEL INEM (DE LA COMUNIDAD DE MADRID),77122.59,319263.2,396385.79,158734.07
45060,TRANSFE. CORRIEN. PRISMA,0,0,0,0
45101,DE ORGANISMOS AUTONOMOS ADMINISTRATIVOS (C.A.M),0,0,0,0
45100,CONSORCIO REGIONAL DE TRANSPORTES,0,0,0,0
45300,DE EMPRESAS PUBLICAS Y OTROS ENTES PUBLICOS,1057410,0,1057410,1057410
46100,TRANSFERENCIA DE AYTOS,0,0,0,0
47000,DE EMPRESAS PRIVADAS,3299364,577.02,3299941.02,0
48000,SUBVENCIONES FAMILIAS S/FINES DE LUCRO,150000,0,150000,0
49000,DEL FONDO SOCIAL EUROPEO,209275.98,0,209275.98,150615.29
51800,INTERESES PRESTAMOS PERSONAL,10000,0,10000,21.83
52000,INTERESES EN CTAS.BANCOS Y CAJAS DE AHORRO,3000,0,3000,6460.97
53400,De soc y entidades dependientes de las entidades locales.,140002.82,0,140002.82,140002.82
54100,PRODUCTO ARRENDAMIENTO FINCAS URBANAS,574140,0,574140,251571.68
54200,PRODUCTO ARRENDAMIENTO FINCAS RUSTICAS,0,0,0,3600
55000,CONCESIONES ADMINISTRATIVAS,79893.57,0,79893.57,37731.64
55200,OTROS DERECHO DE SUPERFICIE,0,0,0,0
55400,PRODUCTOS DE EXPLOTACIONES FORESTALES,0,0,0,0
55410,FONDO DE MEJORA DE MONTES,0,0,0,0
59900,OTROS INGRESOS PATRIMONIALES,10000,0,10000,0
60000,OTROS INGRESOS PATRIMONIALES (SOLARES),0,0,0,135927.94
60100,ENAJENACION DE FINCAS RUSTICAS,0,0,0,0
60300,PATRIMONIO PUBLICO DEL SUELO,500000,0,500000,0
60900,OTROS TERRENOS,0,0,0,0
61100,DE INMOVILIZADO INMATERIAL,0,0,0,0
61900,ENAJENACION DE VIVIENDAS MUNICIPALES,0,0,0,0
72000,De la Administración General del Estado.,0,0,0,0
75000,DE LA ADMON.GENERAL DE LA COMUNIDAD AUTONOMA,0,0,0,0
79100,DEL FONDO DE DESRROLLO REGIONAL,0,0,0,0
87000,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0,6110582.72,6110582.72,0
87010,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0,532094.84,532094.84,0
91101,PRESTAMO RDL 4/2012,0,0,0,0
91301,A MEDIO Y LARGO PLAZO,0,0,0,0
