#Económica,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
32300,INSPECCION TECNICA LICENCIA DE APERTURA,25000.00,0.00,25000.00,0.00
32500,EXPEDICION DE DOCUMENTOS,35000.00,0.00,35000.00,29737.39
32501,LICENCIAS AUTOTAXIS Y VEHICULOS ALQUILER,0.00,0.00,0.00,0.00
32502,TASA POR EXPEDICION Y RENOVACION TARJETAS TRANSPORTE,40000.00,0.00,40000.00,3640.00
32509,TASA POR DERECHOS DE EXAMEN,0.00,0.00,0.00,0.00
32600,RETIRADA VEHICULOS VIA PUBLICA (GRUA),45065.00,0.00,45065.00,33350.00
32700,TASA PRE. SERVI. BODAS.,38000.00,0.00,38000.00,18546.66
32901,PLAC.PATEN.DISTIN.UTILIZ.ESCUDO ENTIDAD,5000.00,0.00,5000.00,2748.90
33001,APARCAMIENTO DE CAMIONES,80000.00,0.00,80000.00,88457.44
33002,PARKING MUNICIPAL,34847.31,0.00,34847.31,36944.25
33003,TASA POR ESTACIONAMIENTO ZONA SER,0.00,0.00,0.00,0.00
33101,ENTR.VEHIC.EN EDIF.Y RES.APAR.EXCLUSIVO,690000.00,0.00,690000.00,658858.89
33203,TASA EMPRESAS EXPLT. DE SUMINISTROS INTERES GENERAL,1000000.00,0.00,1000000.00,1007464.20
33300,TASA EMPRESAS EXPLT. DE SER. TELECOMUNICACIONES,29536.43,0.00,29536.43,0.00
33402,CALICATAS Y ZANJAS EN LA VIA PUBLICA.,29566.69,0.00,29566.69,13268.30
33500,"OCUPACION VIA PUBLICA CON MESAS,SILLAS ETC.",100000.00,0.00,100000.00,67579.87
33501,QUIOSCOS Y CRISTALES EN LA VIA PUBLICA,20000.00,0.00,20000.00,31021.99
33502,TASA POR BARRACAS Y PUESTOS FERIANTES,33000.00,0.00,33000.00,32406.61
33601,OCUPACION DE LA VIA PUBLICA CON MERCANCIA,7000.00,0.00,7000.00,18568.71
33602,TASA POR MERCADILLOS AMBULANTES,45000.00,0.00,45000.00,32734.49
33603,OCUPACION VIA PUBLICA CONTENEDORES,10000.00,0.00,10000.00,10277.68
33604,OTRAS OCUPACIONES,7000.00,0.00,7000.00,11719.56
33800,COMPENSACION DE TELEFONICA DE ESPAÑA S.A.,212000.00,0.00,212000.00,205590.13
33900,VALL.ANDA.ESC.OTR.MAT.CONST.EN VIA PUBLICA.,1000.00,0.00,1000.00,5164.32
33901,OCUPACION CEMENTERIO,0.00,0.00,0.00,0.00
33904,TASA POR APROV.ESPECIAL CAJEROS AUTOMATICOS,10000.00,0.00,10000.00,5967.79
33905,TASA POR OTRAS OCUPACIONES,16000.00,0.00,16000.00,13463.84
34201,ESCUELA DE MUSICA,400000.00,0.00,400000.00,368393.77
34202,CURSOS Y ACTIVIDADES EDUCACION,115287.68,0.00,115287.68,633.40
34300,CURSOS Y ACTIVIDADES DEPORTIVAS,400000.00,0.00,400000.00,251064.28
34404,FESTEJOS TAURINOS,90000.00,0.00,90000.00,0.00
34600,ACTIVIDADES CULTURALES,50300.00,0.00,50300.00,39401.00
34707,CURSOS Y ACTIVIDADES PARTICIPACION CIUDADANA,291561.00,0.00,291561.00,202724.96
34808,CURSOS Y ACTIVIDADES JUVENTUD,6404.73,0.00,6404.73,3023.33
34900,OTROS CURSOS Y ACTIVIDADES,2693.90,0.00,2693.90,0.00
34901,PRECIOS PUBLICOS BOLETIN MUNICIPAL,40000.00,0.00,40000.00,32203.81
34902,OTROS PRECIOS PUBLICOS,280.00,0.00,280.00,130.00
34903,PRECIOS PÚBLICOS CENTRO OCUPACIONAL,0.00,0.00,0.00,2813.46
34904,PRECIOS PUBLICOS CENTRO DE EMPRESAS,0.00,0.00,0.00,103594.72
34905,PRECIOS PÚBLICOS PARKING DISUASORIO,0.00,0.00,0.00,39404.93
36000,VENTA DE MONOMATERIALES,296288.92,0.00,296288.92,268186.99
36001,VENTA DE IMPRESOS,0.00,0.00,0.00,0.00
36002,VENTA MATERIAL DE DESECHOS,6770.00,0.00,6770.00,5030.00
36003,VENTA DE ENERGIA,4195.08,0.00,4195.08,2323.68
38000,REINTEGROS DE AVALES,0.00,0.00,0.00,0.00
38900,REINTEGROS PRESUPUESTOS CERRADOS,28000.00,0.00,28000.00,46852.56
39000,OTROS INGRESOS,117314.78,0.00,117314.78,182047.49
39110,SANCIONES TRIBUTARIAS,71360.00,0.00,71360.00,1932.06
39120,MULTAS DE TRAFICO,721976.75,0.00,721976.75,104191.71
39121,MULTAS S.E.R.,150000.00,0.00,150000.00,409643.10
39190,MULTAS DE CONVIVENCIA CIUDADANA,200000.00,0.00,200000.00,425673.03
39191,OTRAS MULTAS Y SANCIONES,0.00,0.00,0.00,0.00
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQ.PREVIO,5885.67,0.00,5885.67,7478.68
39210,RECARGO EJECUTIVO,15449.49,0.00,15449.49,58615.48
39211,RECARGOS DE APREMIOS,550000.00,0.00,550000.00,404251.57
39300,INTERESES DE DEMORA,250000.00,0.00,250000.00,172169.49
39710,OTROS INGRESOS POR MONETIZACIONES URBANISTICAS,0.00,0.00,0.00,0.00
39800,INDEMNIZACIONES SEGUROS,18945.07,0.00,18945.07,1874.69
39801,INDEMNIZACIONES JUZGADOS,2205.27,0.00,2205.27,2103.22
39902,COMUNIDAD AGUA Y OTROS PISOS ALQUILER,21470.70,0.00,21470.70,19702.63
39903,ANUNCIOS A CARGO DE PARTICULARES,65380.58,0.00,65380.58,27406.91
39904,IMPORTE OBRAS E INST.A C/PARTICULARES,60000.00,0.00,60000.00,75593.25
39905,INGRESOS EXPTES.PENALIZACIÓN,0.00,0.00,0.00,32744.68
39906,INDETERMINADOS,10000.00,0.00,10000.00,633784.29
39907,IMPREVISTOS,21336.92,0.00,21336.92,76400.40
39908,APROVECHAMIENTOS URBANISTICOS,0.00,0.00,0.00,0.00
39912,CUOTAS MANTENIMIENTO ESCUELAS INFANTILES,116737.15,0.00,116737.15,11955.15
39916,INGRESOS PROCEDENTES COLABORACION ALUMNOS EN PRACTICAS,13233.60,0.00,13233.60,6499.20
42000,PARTICIPACION EN TRIBUTOS DEL ESTADO,19915324.50,0.00,19915324.50,15290072.55
42001,DE LA ADMINISTRACION GENERAL DEL ESTADO,6320.00,0.00,6320.00,10000.00
42090,OTRAS TRANSFERENCIAS CORRIENTES,714.34,0.00,714.34,822.41
42190,IMSERSO,0.00,0.00,0.00,0.00
42390,TRANSF. DE SOCIEDADES MERCANTILES ESTATALES Y PUBLICAS,0.00,0.00,0.00,0.00
45000,DE LA ADMON. GENERAL DE LA COMUNIDAD DE MADRID,1118710.00,11396.54,1130106.54,1126970.28
45002,TRANS.CTES.CUMPLIMIENTO DE CONV.SERV.SOC.Y POL.DE IGUALDAD,3409309.68,0.00,3409309.68,3340470.88
45030,TRANS.CTES.CUMPLIMIENTO DE CONV.EN MATERIA DE EDUCACION,560000.00,0.00,560000.00,357864.99
45050,DEL INEM (DE LA COMUNIDAD DE MADRID),62287.20,1036367.40,1098654.60,18373.97
45060,TRANSFE. CORRIEN. PRISMA,2230936.75,0.00,2230936.75,0.00
45100,CONSORCIO REGIONAL DE TRANSPORTES,0.00,0.00,0.00,0.00
46100,TRANSFERENCIA DE AYTOS,0.00,0.00,0.00,0.00
47000,DE EMPRESAS PRIVADAS,3299364.00,898.00,3300262.00,898.00
49000,DEL FONDO SOCIAL EUROPEO,125839.00,0.00,125839.00,0.00
49700,OTRAS TRANSFERENCIAS DE LA UNIÓN EUROPEA,0.00,18760.00,18760.00,70593.76
51800,INTERESES PRESTAMO PERSONAL,508.31,0.00,508.31,0.00
52000,INTERESES EN CTAS.BANCOS Y CAJAS DE AHORRO,8000.00,0.00,8000.00,1276.20
53400,DE SOC. Y ENTIDADES DEPENDIENTES DE LAS ENTIDADES LOCALES,313665.16,0.00,313665.16,442945.92
53410,DE SOC. Y ESTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES,0.00,0.00,0.00,0.00
54100,ARRENDAMIENTOS DE FINCAS URBANAS,550000.00,0.00,550000.00,453556.49
54200,ARRENDAMIENTOS DE FINCAS RUSTICAS,10000.00,0.00,10000.00,1898.80
55000,CONCESIONES ADMINISTRATIVAS,539031.66,0.00,539031.66,125236.44
55400,PRODUCTOS DE EXPLOTACIONES FORESTALES,0.00,0.00,0.00,0.00
55410,FONDO DE MEJORA DE MONTES,0.00,0.00,0.00,0.00
60100,VENTA DE FINCAS RUSTICAS,0.00,0.00,0.00,0.00
60300,PATRIMONIO PUBLICO DEL SUELO,2616368.83,0.00,2616368.83,0.00
60900,OTROS TERRENOS,0.00,0.00,0.00,1832.36
61900,ENAJENACIONES PLAZAS DE GARAJES MPLES,0.00,0.00,0.00,0.00
61901,ENAJENACIONES  DE VIVIENDAS Y LOCALES,0.00,0.00,0.00,0.00
75000,DE LA ADMINISTRACION GENERAL DE LA COMUNIDAD AUTONOMA,0.00,0.00,0.00,0.00
77000,APORTACIONES DE EMPRESAS,0.00,3500.00,3500.00,3500.00
87000,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0.00,0.00,0.00,0.00
87010,APLICACION PARA FINANCIACION DE INCORPORACIONES DE CREDITO,0.00,0.00,0.00,0.00
91100,PRÉSTAMOS,0.00,0.00,0.00,0.00
91301,A MEDIO Y LARGO PLAZO,0.00,0.00,0.00,0.00
